name,category,address,website,phone,review_count,stars,5_stars,4_stars,3_stars,2_stars,1_stars
Crazy About You,American restaurant,"1155 Brickell Bay Dr #101, Miami, FL 33131",passionrestaurantgroup.com,(305) 377-4442,"13,713 reviews",4.8,774,198,358,155,228
Dolores But You Can Call Me Lolita,American restaurant,"1000 S Miami Ave, Miami, FL 33130",passionrestaurantgroup.com,(305) 403-3103,"9,417 reviews",4.8,053,855,242,107,160
Ossobuco Miami- Steak house,Restaurant,"62 NW 27th St, Miami, FL 33127",ossobuco.miami,(561) 921-8152,"1,575 reviews",4.9,504,46,13,4,8
CASA NEOS,Mediterranean restaurant,"40 SW North River Dr, Miami, FL 33128",casa-neos.com,(305) 800-6367,"1,634 reviews",4.7,425,72,35,24,78
Monty's Coconut Grove,Restaurant,"2550 S Bayshore Dr, Miami, FL 33133",montysrawbar.com,(305) 856-3992,"13,835 reviews",4.6,924,627,650,244,390
The Hampton Social - Brickell Miami,American restaurant,"900 S Miami Ave STE 220, Miami, FL 33130",thehamptonsocial.com,(786) 772-1100,732 reviews,4.8,678,24,10,6,14
