name,category,address,website,phone,review_count,stars,5_stars,4_stars,3_stars,2_stars,1_stars
"Nelson Contracting, LLC",Roofing contractor,"4108 Progressive Ave #6, Lincoln, NE 68504",nelsoncontractingllc.com,(402) 464-2418,292 reviews,4.8,266,19,0,1,6
Neemann & Sons Inc.,Roofing contractor,"1121 High St ste b, Lincoln, NE 68502",neemannandsons.com,(402) 423-4853,95 reviews,4.9,88,4,1,0,2
BB Roofing,Roofing contractor,"245 S 84th St ste 210, Lincoln, NE 68510",bbroofingllc.com,(402) 890-4469,27 reviews,4.9,26,0,0,0,1
McCoy Roofing Lincoln,Roofing contractor,"5500 Old Cheney Rd Ste 8, Lincoln, NE 68516",mccoyroofing.com,(402) 413-7681,78 reviews,5.0,77,0,1,0,0
Home Solutions of Nebraska,Roofing contractor,"3800 N 27th St, Lincoln, NE 68521",homesolutionsofnebraska.com,(402) 420-6911,112 reviews,4.9,109,1,1,0,1
Shamrock Roofing and Construction,Roofing contractor,"2547 N 33rd St, Lincoln, NE 68504",shamrockroofer.com,(402) 281-1780,79 reviews,4.6,70,1,1,1,6
Rafa Roofing & Construction,Roofing contractor,"1830 Yolande Ave, Lincoln, NE 68521",rafaroof.com,(866) 329-7232,59 reviews,4.9,58,0,0,0,1
Weddle and Sons Roofing of Lincoln,Roofing contractor,"5900 N 58th St Suite 5, Lincoln, NE 68504",weddleandsons.com,(402) 858-2468,62 reviews,4.9,59,1,0,0,2
