name,category,address,website,phone,review_count,stars,5_stars,4_stars,3_stars,2_stars,1_stars
Louvre MuseumSponsoredBy Viator,Art museum,"75001 Paris, France",louvre.fr,+33 1 40 20 53 17,"330,418 reviews",4.7,379,859,838,961,381
Petit PalaisSponsoredBy Viator,Art museum,"Av. Winston Churchill, 75008 Paris, France",petitpalais.paris.fr,+33 1 53 43 40 00,"20,216 reviews",4.7,510,772,613,105,216
Musée d'OrsaySponsoredBy GetYourGuide,Art museum,"Esplanade Valéry Giscard d'Estaing, 75007 Paris, France",musee-orsay.fr,+33 1 40 49 48 14,"97,475 reviews",4.8,125,310,372,608,060
Carnavalet MuseumSponsoredBy Viator,Art museum,"23 Rue de Sévigné, 75003 Paris, France",carnavalet.paris.fr,+33 1 44 59 58 58,"8,919 reviews",4.7,750,626,337,94,112
Musée de l'OrangerieSponsoredBy GetYourGuide,Art museum,"Jardin des Tuileries, 75001 Paris, France",musee-orangerie.fr,+33 1 44 50 43 00,"19,506 reviews",4.6,453,507,981,242,323
Fondation Louis VuittonSponsoredBy Viator,Art museum,"8 Av. du Mahatma Gandhi, 75116 Paris, France",fondationlouisvuitton.fr,+33 1 40 69 96 00,"20,283 reviews",4.5,062,017,086,413,705
