name,category,address,website,phone,review_count,stars,5_stars,4_stars,3_stars,2_stars,1_stars
Louvre MuseumSponsoredBy Viator,Art museum,"75001 Paris, France",louvre.fr,+33 1 40 20 53 17,"330,706 reviews",4.7,626,887,845,963,385
Musée d'OrsaySponsoredBy Viator,Art museum,"Esplanade Valéry Giscard d'Estaing, 75007 Paris, France",musee-orsay.fr,+33 1 40 49 48 14,"97,580 reviews",4.8,214,322,374,608,062
Carnavalet MuseumSponsoredBy Viator,Art museum,"23 Rue de Sévigné, 75003 Paris, France",carnavalet.paris.fr,+33 1 44 59 58 58,"8,931 reviews",4.7,759,628,337,94,113
Musée Jacquemart-AndréSponsoredBy Viator,Museum,"158 Bd Haussmann, 75008 Paris, France",musee-jacquemart-andre.com,+33 1 45 62 11 59,"7,898 reviews",4.5,375,760,430,149,184
Musée de l'OrangerieSponsoredBy Viator,Art museum,"Jardin des Tuileries, 75001 Paris, France",musee-orangerie.fr,+33 1 44 50 43 00,"19,538 reviews",4.6,474,516,982,242,324
Musée RodinSponsoredBy Viator,Sculpture museum,"77 Rue de Varenne, 75007 Paris, France",musee-rodin.fr,+33 1 44 18 61 10,"17,822 reviews",4.7,281,465,733,156,187
