name, address, link, price, beds, amenities
Luxe By Russos, 241-15 Northern Blvd Flushing NY 11362, https://www.apartments.com/luxe-by-russos-flushing-ny/5y0844m/, $3200 - $5000, Studio - 2 Beds, 
The Exo, 26-38 21st St Astoria NY 11102, https://www.apartments.com/the-exo-astoria-ny/9krqbl6/, $3250 - $3450, 1 Bed, 
The Vitagraph, 1277 E 14th St Brooklyn NY 11230, https://www.apartments.com/the-vitagraph-brooklyn-ny/21jytlc/, $2716 - $3208, 1-2 Beds, 
Barclays II - B14 - 535 Carlton Ave, 535 Carlton Ave Brooklyn NY 11238, https://www.apartments.com/barclays-ii-b14-535-carlton-ave-brooklyn-ny/vrqvrrg/, $2169 - $3320, Studio - 3 Beds, 
Barclays I - B3 - 38 6th Ave, 38 6th Ave Brooklyn NY 11217, https://www.apartments.com/barclays-i-b3-38-6th-ave-brooklyn-ny/xw2jtcp/, $2121 - $3287, Studio - 3 Beds, 
Windsor Court, 155 E 31st St New York NY 10016, https://www.apartments.com/windsor-court-new-york-ny/q3856xz/, $4755 - $8025,                                     1-2 Beds
                                , 
VIA 57 WEST, 625 W 57th St New York NY 10019, https://www.apartments.com/via-57-west-new-york-ny/7tc4rkx/, $3988 - $6480,                                     Studio - 2 Beds
                                , 
444 W 58th St, 444 W 58th St New York NY 10019, https://www.apartments.com/444-w-58th-st-new-york-ny/7twrmww/, $4000 - $6900,                                     2-3 Beds
                                , 
EOS, 100 W 31st St New York NY 10001, https://www.apartments.com/eos-new-york-ny/zls36xz/, $4460 - $10200,                                     Studio - 3 Beds
                                , 
